Trial,Wire,NetType,Run,RunSteps,NetworkFilename,Image,Forward,Left,LeftRotation
10,1fail,actor,181,5,actor_181_5.h5,02,0.392735,0.229046,-0.148619
10,1fail,actor,181,5,actor_181_5.h5,03,0.395363,0.32533,-0.0327719
10,1fail,actor,181,5,actor_181_5.h5,04,0.415288,0.180117,-0.11957
10,1fail,actor,181,5,actor_181_5.h5,05,0.391929,0.304251,-0.0691314
10,1fail,actor,181,5,actor_181_5.h5,06,0.390515,0.315383,-0.014022
10,1fail,actor,181,5,actor_181_5.h5,07,0.396783,0.215308,-0.163301
10,1fail,actor,181,5,actor_181_5.h5,08,0.412455,0.202267,-0.211158
10,1fail,actor,181,5,actor_181_5.h5,09,0.430486,0.17515,-0.0768436
10,1fail,actor,181,5,actor_181_5.h5,10,0.388235,0.341291,0.0239647
10,1fail,actor,181,5,actor_181_5.h5,11,0.396126,0.281137,-0.0857444
10,1fail,actor,181,5,actor_181_5.h5,12,0.401028,0.209263,-0.176696
10,1fail,actor,181,5,actor_181_5.h5,13,0.390068,0.341697,-0.00408437
10,1fail,actor,181,5,actor_181_5.h5,14,0.409596,0.215609,-0.1913
10,1fail,actor,181,5,actor_181_5.h5,15,0.395262,0.321158,0.0306275
10,1fail,actor,181,5,actor_181_5.h5,16,0.396618,0.237023,-0.201327
10,1fail,actor,191,7,actor_191_7.h5,01,0.390862,0.287696,-0.0450066
10,1fail,actor,191,7,actor_191_7.h5,02,0.383445,0.218905,-0.180347
10,1fail,actor,191,7,actor_191_7.h5,03,0.382188,0.346936,-0.030604
10,1fail,actor,191,7,actor_191_7.h5,04,0.4053,0.171957,-0.142009
10,1fail,actor,191,7,actor_191_7.h5,05,0.38012,0.319799,-0.0736078
10,1fail,actor,191,7,actor_191_7.h5,06,0.378878,0.330272,-0.0163982
10,1fail,actor,191,7,actor_191_7.h5,07,0.385315,0.203575,-0.189744
10,1fail,actor,191,7,actor_191_7.h5,08,0.40323,0.188096,-0.245748
10,1fail,actor,191,7,actor_191_7.h5,09,0.421336,0.182682,-0.0902671
10,1fail,actor,191,7,actor_191_7.h5,10,0.375909,0.36763,0.0316592
10,1fail,actor,191,7,actor_191_7.h5,11,0.385311,0.28913,-0.0951519
10,1fail,actor,191,7,actor_191_7.h5,12,0.38947,0.20529,-0.197829
10,1fail,actor,191,7,actor_191_7.h5,13,0.377252,0.367954,0.00249626
10,1fail,actor,191,7,actor_191_7.h5,14,0.400082,0.205868,-0.22294
10,1fail,actor,191,7,actor_191_7.h5,15,0.382342,0.34808,0.0375848
10,1fail,actor,191,7,actor_191_7.h5,16,0.384682,0.237399,-0.225107
10,1fail,actor,1,4,actor_1_4.h5,01,0.496041,0.0521442,0.039582
10,1fail,actor,1,4,actor_1_4.h5,02,0.487031,0.0488369,-0.021662
10,1fail,actor,1,4,actor_1_4.h5,03,0.494074,0.0424892,-0.0106097
10,1fail,actor,1,4,actor_1_4.h5,04,0.491795,0.0621527,0.0192138
10,1fail,actor,1,4,actor_1_4.h5,05,0.488758,0.0442195,-0.00714262
10,1fail,actor,1,4,actor_1_4.h5,06,0.49422,0.0585012,0.0200773
10,1fail,actor,1,4,actor_1_4.h5,07,0.489596,0.0547722,-0.0244447
10,1fail,actor,1,4,actor_1_4.h5,08,0.492616,0.068039,-0.00575329
10,1fail,actor,1,4,actor_1_4.h5,09,0.495593,0.0280853,0.00391278
10,1fail,actor,1,4,actor_1_4.h5,10,0.484765,0.0229979,0.0128259
10,1fail,actor,1,4,actor_1_4.h5,11,0.489433,0.0618765,0.00669526
10,1fail,actor,1,4,actor_1_4.h5,12,0.494071,0.052516,-0.0246876
10,1fail,actor,1,4,actor_1_4.h5,13,0.489649,0.0553922,0.00526216
10,1fail,actor,1,4,actor_1_4.h5,14,0.492893,0.0655831,0.00230052
10,1fail,actor,1,4,actor_1_4.h5,15,0.485673,0.0197659,0.0178724
10,1fail,actor,1,4,actor_1_4.h5,16,0.492808,0.069052,-0.0112755
10,1fail,actor,201,10,actor_201_10.h5,01,0.379988,0.289889,-0.031956
10,1fail,actor,201,10,actor_201_10.h5,02,0.374758,0.203148,-0.184114
10,1fail,actor,201,10,actor_201_10.h5,03,0.371184,0.360021,-0.0091888
10,1fail,actor,201,10,actor_201_10.h5,04,0.397541,0.155002,-0.149081
10,1fail,actor,201,10,actor_201_10.h5,05,0.370018,0.327287,-0.0554289
10,1fail,actor,201,10,actor_201_10.h5,06,0.369351,0.33706,-0.000349952
10,1fail,actor,201,10,actor_201_10.h5,07,0.376239,0.18257,-0.193213
10,1fail,actor,201,10,actor_201_10.h5,08,0.396162,0.162171,-0.259662
10,1fail,actor,201,10,actor_201_10.h5,09,0.413014,0.182261,-0.0882449
10,1fail,actor,201,10,actor_201_10.h5,10,0.365703,0.384372,0.0552633
10,1fail,actor,201,10,actor_201_10.h5,11,0.376093,0.291593,-0.0828035
10,1fail,actor,201,10,actor_201_10.h5,12,0.379765,0.192047,-0.195163
10,1fail,actor,201,10,actor_201_10.h5,13,0.366474,0.385389,0.0285524
10,1fail,actor,201,10,actor_201_10.h5,14,0.392189,0.183527,-0.235071
10,1fail,actor,201,10,actor_201_10.h5,15,0.371774,0.366123,0.0608041
10,1fail,actor,201,10,actor_201_10.h5,16,0.375083,0.231361,-0.223763
10,1fail,actor,211,7,actor_211_7.h5,01,0.370093,0.305319,0.0161942
10,1fail,actor,211,7,actor_211_7.h5,02,0.365842,0.208429,-0.138475
10,1fail,actor,211,7,actor_211_7.h5,03,0.361324,0.382973,0.0477903
10,1fail,actor,211,7,actor_211_7.h5,04,0.38996,0.149832,-0.12812
10,1fail,actor,211,7,actor_211_7.h5,05,0.360302,0.344934,-0.00786725
10,1fail,actor,211,7,actor_211_7.h5,06,0.359193,0.367788,0.0568325
10,1fail,actor,211,7,actor_211_7.h5,07,0.367728,0.181148,-0.15805
10,1fail,actor,211,7,actor_211_7.h5,08,0.390453,0.150142,-0.241437
10,1fail,actor,211,7,actor_211_7.h5,09,0.405255,0.19008,-0.0625006
10,1fail,actor,211,7,actor_211_7.h5,10,0.356452,0.408715,0.103309
10,1fail,actor,211,7,actor_211_7.h5,11,0.36675,0.307145,-0.038369
10,1fail,actor,211,7,actor_211_7.h5,12,0.370829,0.202291,-0.15388
10,1fail,actor,211,7,actor_211_7.h5,13,0.356652,0.41289,0.08818
10,1fail,actor,211,7,actor_211_7.h5,14,0.384701,0.17455,-0.215156
10,1fail,actor,211,7,actor_211_7.h5,15,0.362616,0.391456,0.110024
10,1fail,actor,211,7,actor_211_7.h5,16,0.366468,0.239492,-0.184654
10,1fail,actor,21,4,actor_21_4.h5,01,0.493966,0.028725,0.0394067
10,1fail,actor,21,4,actor_21_4.h5,02,0.483276,0.0250812,-0.0197461
10,1fail,actor,21,4,actor_21_4.h5,03,0.490986,0.0181638,-0.00896616
